["'Cause I'm Blonde", 'Julie Brown']
["This Note's For You", 'Neil Young']
['To Live Is To Die', 'Metallica']
['Tomorrow People', 'Ziggy Marley & the Melody Makers']
['Too Long A Soldier', 'Pat Benatar']
['Toolmaster of Brainerd', 'Trip Shakespeare']
["Touch Me, I'm Sick", 'Mudhoney']
['Tower of Song', 'Leonard Cohen']
['Tower of Strength', 'The Mission UK']
['Twist In My Sobriety', 'Tanita Tikaram']
['Twist of Cain', 'Danzig']
['Two Hearts', 'Phil Collins']
['Uaschitschun', 'Running Wild']
['Ugliest Girl In The World', 'Bob Dylan']
['Under The Milky Way', 'The Church']
['Underneath the Radar', 'Underworld']
['Underwater Rimes', 'Digital Underground']
['Used To Love Her', "Guns N' Roses"]
["Valentine's Day", 'James Taylor']
["Van Diemen's Land", 'U2']
['Velocity, Speed & Force', 'VSF']
['Waiting For A Star To Fall', 'Boy Meets Girl']
['Walk On Water', 'Eddie Money']
["Walkin' The Line", 'Brian Wilson']
['Walking Away', 'Information Society']
['Warakurna', 'Midnight Oil']
['What I Am', 'Edie Brickell & New Bohemians']
["What's On Your Mind (Pure Energy)", 'Information Society']
["What's The Matter Here?", '10,000 Maniacs']
["When It's Love", 'Van Halen']
['When Love Comes To Town', 'U2']
['When Will I Be Famous?', 'Bros']
['When You Come', 'Crowded House']
['Where Are They Now?', 'Al Stewart']
['Where Is My Mind?', 'Pixies']
['Who Cares Wins', 'Anthrax']
['Wild Thing', 'Tone-Loc']
['Wild Wild West', 'The Escape Club']
['World Leader Pretend', 'R.E.M.']
['You Are So Wild', 'Boy George']
['You Came', 'Kim Wilde']
['You Enjoy Myself', 'Phish']
['You Knocked the Love (Right Outta My Heart)', 'Millie Jackson']
['You Know What You Are?', 'Ministry']
['You Made Me Realise', 'My Bloody Valentine']
["You've Got It (The Right Stuff)", 'New Kids on the Block']
["Your Life's A Cartoon", 'Digital Underground']
