["(I've Had) The Time of My Life", 'Bill Medley & Jennifer Warnes']
['Nightrain', "Guns N' Roses"]
['No Chump Love Sucker', 'Red Hot Chili Peppers']
["Nothing's Gonna Stop Us Now", 'Starship']
['Oddfellows Local 151', 'R.E.M.']
['On The Turning Away', 'Pink Floyd']
['One Heartbeat', 'Smokey Robinson']
['One Million Billionth Of A Millisecond On A Sunday Morning', 'The Flaming Lips']
['One More Try', 'George Michael']
['One Slip', 'Pink Floyd']
['One Step Up', 'Bruce Springsteen']
['One Time, One Night', 'Los Lobos']
['One Tree Hill', 'U2']
['Only In My Dreams', 'Debbie Gibson']
['Open Secrets', 'Rush']
['Organic Anti-Beat Box Band', 'Red Hot Chili Peppers']
['Out Of The Blue', 'Debbie Gibson']
['Outskirts', 'Blue Rodeo']
['Over The Hills And Far Away', 'Gary Moore']
['Pacific Coast Highway', 'Sonic Youth']
['Paid In Full', 'Eric B. & Rakim']
['Paper In Fire', 'John Mellencamp']
['Paradise City', "Guns N' Roses"]
['Party On Your Pussy', 'Red Hot Chili Peppers']
['Permanent Vacation', 'Aerosmith']
['Pop Goes The World', 'Men Without Hats']
['Pour Some Sugar On Me', 'Def Leppard']
['Prime Mover', 'Rush']
['Promises', 'Frozen Ghost']
['Pump Up The Volume', 'M/A/R/R/S']
['Push It', 'Salt-N-Pepa']
['Rag Doll', 'Aerosmith']
['Rain In The Summertime', 'The Alarm']
['Rebel Without A Pause', 'Public Enemy']
['Red Hill Mining Town', 'U2']
['Rent', 'Pet Shop Boys']
['Respectable', 'Mel & Kim']
['Rhythm Of Love', 'Yes']
['Right On Track', 'Breakfast Club']
['River of Love', 'Sam Phillips']
['Rock Soldiers', 'Ace Frehley']
['Rock Steady', 'The Whispers']
['Rocket', 'Def Leppard']
['Rocket Queen', "Guns N' Roses"]
['Rose in Paradise', 'Waylon Jennings']
['Running To Stand Still', 'U2']
['Satch Boogie', 'Joe Satriani']
['Seasons Change', 'Expos�']
['Second Nature', 'Rush']
['Sell My Soul', 'Midnight Oil']
['Seven Wonders', 'Fleetwood Mac']
['Sexappeal', 'Georgio']
['Shakedown', 'Bob Seger']
['Shattered Dreams', 'Johnny Hates Jazz']
["She's Like The Wind", 'Patrick Swayze']
['Shine, Jesus, Shine', 'Graham Kendrick']
['Shock', 'The Psychedelic Furs']
['Shoplifters of the World Unite', 'The Smiths']
["Should've Known Better", 'Richard Marx']
["Sign O' the Times", 'Prince']
['Sign Your Name', "Terence Trent D'Arby"]
['Signs Of Life', 'Pink Floyd']
['Silence', 'Pulp']
['Sister Moon', 'Sting']
['Skinny Sweaty Man', 'Red Hot Chili Peppers']
['Smooth Criminal', 'Michael Jackson']
['So Emotional', 'Whitney Houston']
['Someone Like You', 'Van Morrison']
['Somewhere Down The Crazy River', 'Robbie Robertson']
['Somewhere in My Heart', 'Aztec Camera']
['Sorrow', 'Pink Floyd']
['Spare Parts', 'Bruce Springsteen']
['Squeeze The Trigger', 'Ice-T']
['Standing On Higher Ground', 'The Alan Parsons Project']
['Starfish And Coffee', 'Prince']
['Still In Hollywood', 'Concrete Blonde']
["Stop Me If You Think You've Heard This One Before", 'The Smiths']
['Strings of Life', 'Rhythim is Rhythim']
['Sunny Sundae Smile', 'My Bloody Valentine']
["Superman's Ghost", 'Don McLean']
['Surfing with the Alien', 'Joe Satriani']
["Sweet Child O' Mine", "Guns N' Roses"]
['Sweetest Thing', 'U2']
["Tai' Shan", 'Rush']
['Tela', 'Phish']
['Tell It To My Heart', 'Taylor Dayne']
['Terminal Frost', 'Pink Floyd']
['That Girl of Mine ', 'Chris Rea']
['The Ballad of Dorothy Parker', 'Prince']
['The Chair', 'George Strait']
['The Chimney Song', 'Bob Rivers']
['The House That Jack Kerouac Built', 'The Go-Betweens']
['The Kiss', 'The Cure']
['The Ledge', 'The Replacements']
['The Living Daylights', 'a-ha']
['The Loner', 'Gary Moore']
