["Say It Ain't So", 'Weezer']
['Scream of the Butterfly', 'Acid Bath']
['Seaweed', 'The Gits']
['Seconds', 'Pulp']
['Self Esteem', 'The Offspring']
['Sex Kills', 'Joni Mitchell']
['Sh-t Towne', 'Live']
['Shakermaker', 'Oasis']
['She', 'Green Day']
['She Thinks His Name Was John', 'Reba McEntire']
['Shine', 'Newsboys']
['Shoots And Ladders', 'Korn']
['Sign Of The Crab', 'The Gits']
['Silence Kid', 'Pavement']
['Silver', '311']
['Slaughtered', 'Pantera']
['Sleeps With Angels', 'Neil Young']
['Slide Away', 'Oasis']
['Snap Your Fingers, Snap Your Neck', 'Prong']
['So Real', 'Jeff Buckley']
['Somebody Shoulda Heard Me', 'Millie Jackson']
["Someday I'll Be Saturday Night", 'Bon Jovi']
['Someone Else?', 'Queensr�che']
['Sour Times', 'Portishead']
['Space Cowboy', 'Jamiroquai']
['Space Dog', 'Tori Amos']
['Space-Dye Vest', 'Dream Theater']
['Spin The Black Circle', 'Pearl Jam']
['Spinal Meningitis (Got Me Down)', 'Ween']
['Spoonman', 'Soundgarden']
['SS-3', 'Slayer']
['Star 69', 'R.E.M.']
['Staring Through the Eyes of the Dead', 'Cannibal Corpse']
['Stay', 'Lisa Loeb']
['Stay Another Day', 'East 17']
['Stay Together', 'Suede']
['Still Remains', 'Stone Temple Pilots']
['Stoned', "Old 97's"]
['Storyteller', 'Crystal Waters']
['STP', 'Sublime']
['Stupid Mop', 'Pearl Jam']
['Sunday Afternoons', 'Vanessa Daou']
['Sunny Sunday', 'Joni Mitchell']
['Sunshine Country', 'Victoria Williams']
['Supersonic', 'Oasis']
['Sure Shot', 'Beastie Boys']
['Surf Wax America', 'Weezer']
['Susanne', 'Weezer']
['T.B.D.', 'Live']
['Take A Bow', 'Madonna']
['Take It Back', 'Pink Floyd']
['Tales From The Hard Side', 'Biohazard']
["Talkin' Seattle Grunge Rock Blues", 'Todd Snider']
['Tenderloin', 'Rancid']
['The 2 Of Us', 'Suede']
['The Asphalt World', 'Suede']
['The Beast In Me', 'Johnny Cash']
['The Big Fellah', 'Black 47']
['The Bonny Swans', 'Loreena McKennitt']
['The Chicken Dance', 'Werner Thomas']
['The Color Of The Night', 'Lauren Christy']
['The Day I Tried To Live', 'Soundgarden']
['The Downward Spiral', 'Nine Inch Nails']
['The Family Trip', 'Marilyn Manson']
['The Future', 'Leonard Cohen']
['The Killing Road', 'Megadeth']
['The Man I Love', 'Kate Bush and Larry Adler']
['The Most Beautiful Girl In The World', 'Prince']
['The Red Strokes', 'Garth Brooks']
['The Sweetest Days', 'Vanessa Williams']
['The Twist', 'The Swirling Eddies']
['The Waitress', 'Tori Amos']
['The Whole World Lost Its Head', "The Go-Go's"]
['The Wild Ones', 'Suede']
['The World Has Turned And Left Me Here', 'Weezer']
['The World Is Yours', 'Nas']
['The Worst', 'The Rolling Stones']
['Think Twice', 'Celine Dion']
['This Generation', 'Roachford']
['This Hollywood Life', 'Suede']
['This Is A Low', 'Blur']
['This is the Moment', 'Anthony Warlow']
['Tijuana Jail', 'Gilby Clarke']
['Tomorrow', 'Silverchair']
['Tomorrow Repeats', 'Emeli Sand�']
['Toubabo Koomi', 'Acid Bath']
['Touchdown Boy', 'blink-182']
["Truckdrivin' Neighbors Downstairs (Yellow Sweat)", 'Beck']
['Tyler', 'Toadies']
['U Will Know', 'Black Men United']
['Undone - The Sweater Song', 'Weezer']
['Up in the Sky', 'Oasis']
['Use My Third Arm', 'Pantera']
['Vandraren', 'Nordman']
['Vasoline', 'Stone Temple Pilots']
['Victory', 'Megadeth']
['Voices', 'Dream Theater']
['Voodoo People', 'The Prodigy']
['Waiting For Wednesday', 'Lisa Loeb']
['Wake Up', 'Mad Season']
['Waking Up', 'Elastica']
['Walk Away', 'Ben Harper']
['Wasting Time', 'blink-182']
['Waterfalls', 'TLC']
['We Are the Pigs', 'Suede']
['Welcome To Paradise', 'Green Day']
['What Would You Say', 'Dave Matthews Band']
["What's the Frequency, Kenneth?", 'R.E.M.']
['When Do I Get to Sing "My Way"', 'Sparks']
['When I Come Around', 'Green Day']
['White, Discussion', 'Live']
['Who Will Save Your Soul', 'Jewel']
["Wolfman's Brother", 'Phish']
['Yes, Anastasia', 'Tori Amos']
["You Don't Know How It Feels", 'Tom Petty']
["You Don't Love Me (No, No, No)", 'Dawn Penn']
['You Got Me Rocking', 'The Rolling Stones']
['You Gotta Be', "Des'ree"]
['You Let Your Heart Go Too Fast', 'Spin Doctors']
['You Want This', 'Janet Jackson']
['You Wreck Me', 'Tom Petty']
['Your Ghost', 'Kristin Hersh']
["Your Sister's Clothes", 'Pulp']
['Youthanasia', 'Megadeth']
['Zombie', 'The Cranberries']
